File,cSpell message,Result type,Template,Issue,notes
/pages/code-of-conduct.html,"""CODEOFCONDUCT"": Unknown word.",False Positive,,,
/pages/communities-of-practice.html,"""commmunity"": Unknown word.[ln 22]",Misspelling,Misspelling,https://github.com/hackforla/website/issues/6232,
/pages/credits.html,"""forloop"": Unknown word.[Ln 99, Col 35]",False Positive,,,
/pages/guides.html,"""markdownify"": Unknown word.[ln 21]",False Positive,words,,
/pages/guides.html,"""cleanstring"": Unknown word.[ln 37]",False Positive,,,
/pages/guides.html,"""markdownify"": Unknown Word [ln 49]",False Positive,words,,
/pages/join-us.html,"""Do-ocracy"": Unknown word. ",False Positive,words,,
/pages/privacy-policy.html,"""HackforLA.org"": Unknown word.",False Positive,ignoreWords,,
/pages/privacy-policy.html,"""markdownify"": Unknown word.",False Positive,words,,
/pages/program-areas.html,"""forloop"": Unknown word.",False Positive,,,
CONTRIBUTING.md,"""onboarded"": Unknown word. [ln 7]",False Positive,,,
CONTRIBUTING.md,"""hfla"": Unknown word. [ln 11]",False Positive,,,
CONTRIBUTING.md,"""hackforla"": Unknown word. [ln 22]",False Positive,,,
CONTRIBUTING.md,"""hfla"": Unknown word. [ln 91]",False Positive,,,
CONTRIBUTING.md,"""hackforla"": Unknown word. [ln 105]",False Positive,,,
CONTRIBUTING.md,"""hackforla"": Unknown word. [ln 114]",False Positive,,,
CONTRIBUTING.md,"""hackforla"": Unknown word. [ln 140]",False Positive,,,
CONTRIBUTING.md,"""hackforla"": Unknown word. [ln 142]",False Positive,,,
CONTRIBUTING.md,"""octocat"": Unknown word. [ln 158]",False Positive,,,
CONTRIBUTING.md,"""octocat"": Unknown word. [ln 200]",False Positive,,,
CONTRIBUTING.md,"""hfla"": Unknown word. [ln 257]",False Positive,,,
CONTRIBUTING.md,"""hfla"": Unknown word. [ln 258]",False Positive,,,
CONTRIBUTING.md,"""hfla"": Unknown word. [ln 259]",False Positive,,,
CONTRIBUTING.md,"""unstage"": Unknown word. [ln 595]",False Positive,,,
CONTRIBUTING.md,"""unstaging"": Unknown word. [ln 595]",False Positive,,,
CONTRIBUTING.md,"""pbcopy"": Unknown word. [ln 755]",False Positive,,,
CONTRIBUTING.md,"""zaragoza"": Unknown word. [ln 865]",False Positive,ignoreWords,,
CONTRIBUTING.md,"""adrianang"": Unknown word. [ln 890]",False Positive,ignoreWords,,
